행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
51150,강원특별자치도,강릉시,2025,210019.084,55025.0,779.5333333,9.0,4.0,371.1726185,4.285324852,1.904588823,0.8609655,0.0,819.3858102,40.0,27.26637822,19.0,5.803402175,2.0
51820,강원특별자치도,고성군,2025,27295.38462,8871.0,27.4,4.0,0.0,100.3832713,14.65449217,0.0,0.899391704,0.0,106.4924692,80.0,3.54370787,0.0,0.754246193,1.0
51170,강원특별자치도,동해시,2025,86139.53488,22224.0,168.9333333,6.0,2.0,196.1159107,6.965442765,2.321814255,0.845230342,0.0,336.0719,168.0,11.18333198,6.0,2.380271138,1.0
51230,강원특별자치도,삼척시,2025,61859.53177,18496.0,106.3333333,11.0,1.0,171.8948241,17.78222318,1.616565744,0.811358308,0.0,241.3438893,136.0,8.031105355,0.0,1.709348191,1.0
51210,강원특별자치도,속초시,2025,80574.29719,20063.0,198.3333333,4.0,2.0,246.1496287,4.964362259,2.482181129,0.844424206,0.0,314.3592217,117.0,10.46080775,7.0,2.226488387,1.0
51800,강원특별자치도,양구군,2025,20216.91176,5499.0,34.13333333,5.0,1.0,168.8355459,24.73176941,4.946353883,0.629122377,0.0,78.87593028,45.0,2.624723202,0.0,0.558648612,0.0
51830,강원특별자치도,양양군,2025,26695.89041,9744.0,26.73333333,3.0,0.0,100.1402573,11.23768473,0.0,0.932122332,1.0,104.153553,78.0,3.465876677,1.0,0.737680527,1.0
51750,강원특별자치도,영월군,2025,35425.47425,13072.0,64.6,9.0,1.0,182.3546512,25.40544676,2.822827417,0.773947235,0.0,138.2118728,74.0,4.599221944,0.0,0.978902824,0.0
51130,강원특별자치도,원주시,2025,364459.1837,71434.0,1208.0,13.0,4.0,331.4500098,3.566928913,1.097516589,0.861922367,0.0,1421.931178,214.0,47.31704263,35.0,10.07100488,7.0
51810,강원특별자치도,인제군,2025,31178.98833,8013.0,37.6,6.0,0.0,120.5940347,19.24372894,0.0,0.828152673,0.0,121.6442817,85.0,4.047908753,0.0,0.861560794,1.0
51770,강원특별자치도,정선군,2025,32133.70474,11536.0,47.0,9.0,1.0,146.2638696,28.00797503,3.111997226,0.74787703,0.0,125.3690912,79.0,4.171857769,0.0,0.887942221,0.0
51780,강원특별자치도,철원군,2025,39592.98246,11284.0,68.4,5.0,1.0,172.7578873,12.62850053,2.525700106,0.813601774,0.0,154.4713337,87.0,5.140281608,1.0,1.094062483,1.0
51110,강원특별자치도,춘천시,2025,293355.1402,62778.0,1001.2,8.0,3.0,341.2928096,2.727069993,1.022651247,0.88444022,0.0,1144.519987,144.0,38.0857399,31.0,8.106205524,6.0
51190,강원특별자치도,태백시,2025,37471.875,11991.0,76.33333333,4.0,1.0,203.7083368,10.67467267,2.668668168,0.841242704,0.0,146.1958698,70.0,4.864902261,1.0,1.035450478,1.0
51760,강원특별자치도,평창군,2025,38769.23077,14112.0,67.33333333,8.0,1.0,173.6772487,20.63492063,2.579365079,0.806258606,0.0,151.2574808,84.0,5.033335493,0.0,1.071299969,1.0
51720,강원특별자치도,홍천군,2025,64997.08455,22294.0,139.0666667,11.0,1.0,213.9583146,16.92383601,1.538530546,0.840020602,0.0,253.584997,115.0,8.438447865,0.0,1.796047363,1.0
51790,강원특별자치도,화천군,2025,22243.81625,6295.0,46.33333333,4.0,1.0,208.2975907,17.98252581,4.495631454,0.705518364,0.0,86.78386296,41.0,2.887872357,0.0,0.614657531,0.0
51730,강원특별자치도,횡성군,2025,45086.02151,16772.0,65.53333333,9.0,1.0,145.3517768,19.96184116,2.217982352,0.825723797,0.0,175.9023302,111.0,5.85343242,0.0,1.245850188,1.0
41820,경기도,가평군,2025,61227.8481,19348.0,107.2666667,6.0,1.0,175.1926125,9.799462477,1.633243746,0.876891227,0.0,238.8793864,132.0,7.949095066,2.0,1.691893042,1.0
41280,경기도,고양시,2025,1049280.22,190969.0,3647.6,18.0,8.0,347.6287774,1.715461672,0.76242741,0.885946492,0.0,4093.748562,447.0,136.2260552,119.0,28.99448467,21.0
41290,경기도,과천시,2025,86164.47368,13097.0,121.6666667,3.0,0.0,141.20282,3.481713369,0.0,0.926774112,1.0,336.1691983,215.0,11.18656974,9.0,2.380960266,3.0
41210,경기도,광명시,2025,286681.3187,52176.0,1006.866667,5.0,2.0,351.214607,1.744096903,0.697638761,0.888016219,0.0,1118.482188,112.0,37.21929035,33.0,7.921789568,6.0
41610,경기도,광주시,2025,397344.4444,71522.0,636.1333333,8.0,1.0,160.0961942,2.013366517,0.251670815,0.941808928,1.0,1550.232452,915.0,51.58647349,44.0,10.97971465,10.0
41310,경기도,구리시,2025,180267.3797,33710.0,787.9333333,4.0,2.0,437.0914664,2.218926135,1.109463067,0.850542228,0.0,703.3100524,0.0,23.40377104,20.0,4.981281146,3.0
41410,경기도,군포시,2025,258859.375,49701.0,685.0666667,5.0,2.0,264.6481962,1.931550673,0.772620269,0.904443359,1.0,1009.935358,325.0,33.60722031,29.0,7.152993107,6.0
41570,경기도,김포시,2025,499880.5031,79481.0,1172.8,9.0,2.0,234.6160718,1.800430292,0.40009562,0.911416273,1.0,1950.275105,778.0,64.89853497,56.0,13.81306662,12.0
41360,경기도,남양주시,2025,721670.2703,133509.0,1470.466667,12.0,4.0,203.7587978,1.662809249,0.55426975,0.925376435,1.0,2815.584031,1346.0,93.6930786,82.0,19.94172499,16.0
